page,interactions,nb
Comical Ent,11394,3
Prestige Guitars,11385,5
Hierophant Meme,11377,2
Sipadan Kapalai Dive Resort,11374,2
Je Reçois Traiteur,11370,2
Griselda Records - #gxfr,11355,4
Kevin Ekoman,11319,5
Huskies de Rouyn-Noranda,11318,5
"Joe Beeverz Canadian Pub - Brandon,MB",11308,4
Brahm Benipal,11303,3
Dekaron,11296,4
Game Of Thrones Season 8 Fans,11287,4
Red Deer Advocate,11280,4
McSweeney's Premium Jerky and Meat Snacks,11278,5
Sharan Kaur,11277,3
PunjabianDi.com,11276,1
TABLOÏD,11273,5
Fondation québécoise du cancer,11273,4
Andrea Brooks,11271,4
Jon Benson,11266,1
Vancouver Symphony Orchestra,11264,4
Somaliland Intellectuals Institute SII,11261,3
Outlet Collection at Niagara,11261,1
Légère Reeds,11260,1
CBC Archives,11254,2
VINS FINS L'agence,11242,2
Darren Fisher,11242,3
Y'a du monde à messe,11237,2
Annie Brocoli,11223,3
Burger King Canada,11217,4
Dulce Neves Visual Artist,11215,3
Sécurité Publique MRC des Collines-de-l'Outaouais,11203,5
Labedzki-Art,11202,6
Dauntless,11197,5
Dewalt Drywall Tools,11192,3
Whistle Adi,11190,3
What's Up Canada?,11189,3
Horizon Health Network/Réseau de santé Horizon,11185,4
Selecta Dubfire,11184,1
Van Houtte,11182,4
Examine.com,11177,4
Eleonora Dobrinina,11164,5
Be More Chill,11162,4
Rustic Mama Retreats,11157,3
Pook,11153,3
Continental Tire Canada,11152,5
Simply Beautiful Box,11142,2
WowWee,11140,2
Quoi faire au Québec,11139,5
Mitsou magazine,11135,2
Positivity,11134,3
KRUVE,11133,1
Réno-Dépôt,11131,3
Air Canada Rouge,11131,2
K pour Katrine,11129,3
De père en flic,11122,1
Sinfonia Toronto,11110,3
Aux arts de la table,11107,4
Joe Cressy,11103,1
Meguiar's,11097,3
ENMAX Centre,11095,5
Todays Auto Sales in Canada,11082,3
Sean McColl,11080,4
Coastal.com,11079,5
Shaker St-Hyacinthe,11073,4
519 Stolen Vehicle Network - Track your ride,11073,4
Herléo Muntu,11064,1
الحرية للكابتن الطيار حسن غويلة,11056,2
La Cordée Plein Air,11052,4
Womance,11050,4
Francisco Randez,11037,2
Orangeville Police Service,11034,2
Beautiful Zimbabwe,11033,5
Hockey Training,11032,4
Karwan Hawramy,11030,3
Dogtopia,11027,5
Pepsi,11024,2
Cooking with Chastity,11024,1
L'Avenue du Mont-Royal,11021,1
Salon du livre de Trois-Rivières,11017,5
Joey Landreth,11015,2
Sean Fraser,11007,3
DJ Agile,10999,1
Vendors4hire,10994,4
BRYAN TERMULO,10993,4
Messmer - Officiel,10974,5
Strathroy-Caradoc Police Service,10969,1
Perimeter Aviation LP,10966,3
Alex MacLean,10960,2
Boy Toyin,10953,4
REMAX Infinity Realty,10953,1
Hugo Dumas,10951,4
Georges Laraque,10951,4
Hey Can You Crochet Me A,10939,5
Fédération des médecins spécialistes du Québec,10937,2
Fisher's Popcorn,10936,5
Simcoe Reformer,10931,6
Sensenig's Landscape Supply,10929,4
Bluewater Health,10924,4
Ticket Gagnant Unc-Udps,10912,6
Shyju Mathew,10910,3
Breakfast Television & CityNews Vancouver,10904,2
Moxie's Grill & Bar,10904,3
Instant Weather Saskatchewan,10891,5
Cranbrook Professional Fire Fighters Local 1253,10884,2
Kristina Maria,10882,4
Eric Alper,10881,1
Planet eBooks,10881,5
Erum,10879,4
Yasmin Ray,10878,1
The Theorist,10877,3
StyleDemocracy,10870,3
Oceana Canada,10870,4
Canadian Mental Health Association - Edmonton,10863,3
GROHE Canada,10862,4
Ricochet - English,10858,4
CurlingZone,10853,4
شركة الدولي لنقل البضائع,10840,1
"Citation, Poème Et Motivation",10838,3
Fluval,10824,3
Dil Se Aur Sirf Dil Se,10823,3
5e rang,10821,1
Soft 103.9,10821,1
Toronto Times,10818,1
Alain Therrien,10811,4
OSSTF Toronto,10804,2
Weddingstar Inc.,10802,5
HApPy ToDdLeR PLaYTiMe,10800,1
Catherine Girard-Audet,10797,5
Les libraires,10797,5
Doodjer,10795,3
Art of the Islamic gardens  فن الحدائق الإسلامية,10794,1
Adbusters,10785,2
Kris Angelis,10769,1
Lulu Hughes,10768,3
Brault & Martineau,10755,4
Clinique Vétérinaire 440 inc.,10753,2
Ludia Games,10750,1
Laurence Manning,10749,5
Tourism Golden,10747,1
Hands On Humanism,10741,2
107.7 Estrie,10740,3
National Cupcake Day for SPCAs & Humane Societies,10739,4
Old Yale Brewing,10733,5
Surface Of The Sun,10729,3
Darkest Dungeon,10725,4
Committee On Monetary and Economic Reform,10723,1
Nova Scotia Health,10720,4
"Yogi Bear's Jellystone Park, Woodstock",10719,2
STIHL Timbersports,10715,3
W. Brett Wilson,10710,5
Atisem Ghana,10693,2
Canada Debate,10692,1
Big Valley Jamboree,10685,3
Hebdo Rive Nord,10674,3
Cinémas Guzzo,10670,4
NOW Magazine,10669,4
eBrandon.ca,10667,5
Leon's Owen Sound,10656,5
Les Promenades Gatineau,10655,4
GoldHunt Texas,10653,2
Emilie Robidas,10647,3
Distillerie 3 Lacs,10647,3
GT Radial Canada,10640,3
New Rock 89X,10631,3
Alberta Emergency Alert,10614,3
Noctem Artisans Brasseurs,10614,2
Digital Motion Events,10606,1
Electric Island,10605,2
Le Tapis Rouge,10604,5
Bôsapin,10601,2
Teamsters Canada,10598,3
BargainPk,10596,4
"Craft, Home and Garden Ideas",10580,3
Nail Art Goals,10580,5
Striker,10574,2
Vancouver Police Department,10565,4
Life In Pleasantville,10560,3
The Fabric Snob,10557,2
Ez-Clean,10555,4
Ce soir on char,10544,2
Babacar Sadikh,10544,3
Rup Magon,10544,3
Music is not subjective,10535,4
Christian Mbilli,10534,3
Canadian Down Syndrome Society,10529,2
Le Domaine Shannon,10520,4
Provincial Health Services Authority - PHSA,10520,2
Sam Louis,10514,2
Fear the Dean,10505,3
Émilise Lessard-Therrien,10500,3
BC SPCA Chilliwack Branch,10495,3
Occasion en Or,10489,4
Newfoundland Chocolate Company,10477,2
Dany Bédar,10469,3
FundScrip,10467,5
Stony Plain Reporter/Spruce Grove Examiner,10459,1
BookClubbish,10459,3
KiSS 102.3 Winnipeg,10459,5
Mark's,10453,3
Li-Ning México,10445,3
Nanaimo Beacon,10442,3
Super Best Friends Play,10440,3
Brad Redekopp MP,10440,1
Mark Friesen PPC,10432,3
Cove Kombucha,10431,4
TV5.ca,10428,5
Wolverine Supplies,10427,5
Occupy Courtenay BC,10425,1
Ambulance Saint-Jean au Québec,10423,2
Pur Vodka,10420,3
Aliments Roma Foods,10417,4
Music By Chapter,10412,2
West African Football Academy SC,10393,3
TVO,10377,3
Banque Nationale,10371,4
Lindsay Mathyssen,10368,2
The Southwest Booster,10366,1
Festival SPASM,10365,1
GOOD TO GO Snacks,10364,3
Ville de Sherbrooke,10364,3
Fédération des Québécois de souche,10360,4
Dan Mangan,10360,5
Pot Masson,10354,3
JoSH,10352,3
NB Parks/Parcs N.-B.,10349,4
Worship Fever,10338,1
Mount Washington Alpine Resort,10338,4
B-93,10336,4
Vileda Canada,10336,4
Darling Escapes,10330,2
Girum Tadesse ግሩም ታደሰ,10329,3
Kamloops Best Rock 98.3 CIFM,10326,4
Universal Immigration,10325,1
Staples Canada,10325,3
Beardowear,10323,4
OldCarOnline.com,10314,2
Profound Lore Records,10308,3
NIX Tattoo Show,10304,3
Préma-Québec,10300,4
Roberto Flores,10295,3
Bryan & Amanda Bickell Foundation,10295,5
Khabees Billi,10290,3
Nuevas Ideas Canada,10287,3
itsbirdy,10282,3
WalkAway Campaign Canada,10274,4
Vincent Leclerc,10273,2
Geneviève Jodoin,10272,4
Culture et Communications Québec,10271,3
Dauphin's Countryfest,10268,5
Heather Robertson,10266,3
Baber Afzal Visuals,10266,3
Indigenous Tourism Canada,10266,5
Humble The Poet,10258,4
Camões Radio,10256,2
Arrondissement de Mercier - Hochelaga-Maisonneuve,10250,2
Proxim,10238,3
Lukateka,10234,3
XL,10233,1
د. يوسف ابو عصبة - جراحة الرئة والمريء,10229,2
Jeffery Straker,10227,4
FouKi,10226,3
Town of High Level,10223,3
Mega Pret,10216,3
PrairieCoast equipment,10216,1
Clearly.ca,10213,4
Scandinave Spa Vieux-Montréal,10210,3
New Westminster Police,10206,3
SaskParks,10182,3
Jassa Dhillon,10178,1
Film d' horreur,10177,3
Sun Country 99.7 FM,10162,1
Emergency Health Services - EHS,10154,3
YFC Fredericton International Airport,10153,1
Asian Fashion,10150,4
Party Crashers QC,10145,2
Basic Income Canada Network,10139,2
Station touristique Stoneham,10133,4
The Bold and the Beautiful Spy,10133,4
Jobanjit Singh,10132,4
Canadian Legacy Project,10121,3
Paul St-Pierre Plamondon,10101,4
Frankie Flowers,10090,4
The Launch,10090,3
Tim Hicks,10072,2
Ordre des pharmaciens du Québec,10071,4
Rosalie Bonenfant,10070,4
BC Teachers' Federation (BCTF),10067,4
Luke Willson 82,10066,2
The Laughing Cow Canada,10065,3
The Travel Store,10063,2
Васељенска ТВ,10059,3
Productive Muslim,10057,2
Tooth&Nail,10054,1
Ligue La Leche,10054,3
Philip Sayce,10048,4
Northern British Columbia,10046,4
Sinamkol,10044,1
Rachel M Crowspreadingwings,10039,3
Letras Anonimas,10038,4
Mustang Drive-In Guelph,10038,4
Festivent de Lévis,10036,3
Epoxy Stuff,10030,3
Skizzleaxe,10027,1
The Leukemia & Lymphoma Society of Canada,10025,3
The Global Schoolhouse Initiative,10024,1
Pembroke's Pure Country,10024,3
Fort McMurray Today,10023,4
Instagram Vancouver,10020,5
Max Domi,10019,4
White Point Beach Resort,10019,2
Luxury Retreats,10016,4
Mystical Verses - Self-to-self,10015,5
David's Disney Vacation Club Rentals DVC Rentals,10014,3
Hollowlove,10014,1
Goodness Me! Natural Food Market,10014,3
The Kit,10012,3
Pro Law Attorneys,10010,3
Pandemik9,10008,1
Terrestrial Energy,10005,1
Noa Angell,10000,1
Strøm spa nordique - Vieux-Québec,9999,3
Wild and Creative,9997,5
GV Snowshoes,9996,3
Khai Business Consulting,9995,2
Ко не уђе тај је глодар...,9991,3
Caitie's Classroom,9986,2
Journal Mobiles,9982,3
IKO Roofing,9977,3
Fight for $15 & Fairness,9974,3
The Tyee,9973,4
Daxiong,9971,3
Proverbes juifs,9970,3
CFP Canada Free Press - a Conservative Free Press,9968,4
JaEvent,9967,1
Men World,9960,2
Moi d'abord,9958,3
gnash,9956,5
DJ RAnks,9954,3
JDRF Canada,9953,4
Canada and the World,9949,3
Crazy Compression,9941,4
jess connelly,9932,4
Zympala,9931,2
HBO Canada,9923,2
Cape Breton Post,9918,4
Wagners,9918,2
Les Éditions Passe-Temps,9912,2
Mezza Lebanese Kitchen,9909,5
1029klite,9900,3
John Molson School of Business,9897,1
Blossom Buddies,9896,2
Net Zero Co.,9892,2
Matt Minglewood,9891,2
The Personal,9890,3
Mustafa Alazzawi,9886,3
Police Officers United,9881,4
Bowen Life,9881,1
Vanessa Pilon,9878,2
Buddy Wasisname and the Other Fellers,9874,2
Minute Rice Canada,9872,1
Sherpas Cinema,9864,3
Fuego Diablo Premium Steaks,9858,2
Christmas at the Coliseum,9858,3
Signé caméline,9855,3
River Valley Golf & Snow Tube Slide,9854,3
Service de police Ville de Saint-Jérôme,9850,4
Saron Gebresellassi,9848,4
Alexis de Portneuf,9847,5
BC SPCA Burnaby Branch,9836,3
Turning Point Canada,9832,4
"Town of Grand Falls-Windsor, Newfoundland and Labrador",9831,4
Brent Fikowski - Athlete,9830,3
Fredericton Fire Fighters' Association,9824,3
Jasraj Lailna,9812,4
Toronto Star Archives,9812,5
Pela Case,9806,4
Sunshine Coast BC Canada,9804,2
Caserne de Pompiers no.16 - Montréal - Le Plateau,9798,1
Warning Sign,9797,1
بيت السكري,9796,4
Gravel Pieces D'autos,9794,1
Instituts de recherche en santé du Canada,9788,1
Lindsay Schoolcraft,9784,4
Historia (Québec),9783,3
Martin Petit,9780,4
Saanich Fair,9779,3
NoyTrending.PH,9769,1
Le Barbu Sportif,9765,5
AJDOR,9759,2
Coming Out or Showing Support Canada (english),9752,2
Virgin Radio Kelowna,9751,4
"White Coat, Black Art on CBC Radio",9751,1
Ancient Forest Alliance,9743,4
Animal Protection Party of Canada,9742,4
Leduc Lethwei,9738,4
Lait de poule allaitement,9736,4
desiFEST,9733,4
Æsir and Vanir,9720,4
Meme Burglar,9709,3
Trust me. . I'm a Pharmacist,9701,4
كمال ديب الصفحة الرسمية,9697,3
Big O Tires BC,9690,3
Ghetto University Of Tema,9689,2
Portland Daily Hive,9688,3
MadLipz,9687,4
McMichael Canadian Art Collection,9685,5
Vive le bacon,9683,2
Un Souper presque parfait,9677,3
Sunny kahlon,9673,2
الهجرة السريعة الى كندا بدون محامي,9670,5
Flyers Feed,9670,4
Erik Guay,9669,3
Parwiz Kawa,9662,2
Official: Bad Blood,9661,4
DSG Performance,9660,1
Manulife Bank,9657,4
Punkodelish Photos,9656,4
Portuguese E-Cards,9656,4
Sarab Dhillon,9644,2
Tanner Byrne,9635,3
Wheatland EMS,9620,1
En Karma,9618,1
Lamariettekah,9617,4
Ottawa REDBLACKS,9616,5
Julien Welsch Stunt Rider,9613,1
Ontario's Blue Coast,9613,4
Patrick Mulumba Official,9613,3
The Belleville Intelligencer,9609,3
J-Bass,9608,2
High Commission of Canada to Bangladesh,9597,3
KiSS 99.3,9594,4
Jérémi Lepage,9593,3
MEG MAC,9588,4
DZPress Coop,9585,2
Columbia Sportswear,9585,5
Northwest Territories Tourism,9583,2
Aya Mhana,9582,5
Brandon Police Service,9579,4
Réno-Assistance par Desjardins,9570,3
Centropolis,9569,5
Sandman Hotel Group,9568,5
Bluewave Energy,9568,4
3 Amigos,9554,2
Jass cheema,9550,4
BradfordToday.ca,9549,2
Tarik,9548,3
Sonia Benezra,9545,4
The Savoy Theatre,9545,2
Scotiabank Centre,9542,3
Isabella Lopez,9542,1
CropLife International,9541,1
David Darmel,9540,1
Cash for Trash Canada,9538,4
Sikh Heritage Museum of Canada,9525,1
Université de Montréal : Vivre l'expérience UdeM,9524,3
Necronomicon,9519,2
Perto,9518,2
IDC Dermo,9507,4
Klei Entertainment,9506,4
One Man Can,9505,3
Buddha Brands,9499,2
The Publican House Brewery,9496,4
Jaryd Stanley,9494,2
Make Trudeau A Drama Teacher Again,9494,5
Ranchland Outfitters,9493,3
Ministère de la Sécurité publique du Québec,9477,5
Boucherie Rene & Richard,9476,6
Neon Dreams,9468,2
Peterborough Humane Society,9468,4
Équipe Marty Waite,9465,4
Aml artist,9462,1
Tower Jewellers Bathurst NB,9459,2
Sun Peaks Resort,9456,3
"Loving An Addict, Loving Yourself",9454,2
Justice Centre for Constitutional Freedoms,9451,4
Jake Donaldson,9450,3
Pierre Karl Péladeau,9447,5
Joe Ceci,9434,3
Rehman Khan,9432,4
Merritt Herald,9430,1
Just married location vente robe de mariage et accessoires a dakar,9429,2
La Fabuleuse Histoire d'un Royaume,9425,2
Vieux-Port de Montréal,9425,3
BarBurrito Canada,9417,4
United We Roll For Canada,9415,2
قرآن حديث سنّة,9410,5
LeelaLicious,9409,4
ASTROLab du parc national du Mont-Mégantic,9408,2
ترافلز  Truffleś,9402,2
Canada Hates Donald Trump,9400,1
Canadian Chicken - Poulet canadien,9394,5
Harley-Davidson Rimouski,9388,2
Parachute GO Skydive,9388,3
Loacker,9385,5
Canadians for Excellence in Education,9385,3
Sikhism and Sikh Culture,9366,3
Post Foods Canada,9366,2
Cyprinus,9365,4
Ville de Trois-Rivières,9361,2
Dave Mercer's Facts of Fishing,9360,5
Leucan,9347,1
Agence du revenu du Canada,9345,3
Spotted : Police de Trois-Rivières,9345,2
Motos Illimitees,9345,3
GLI General Lines of Immigration corporation,9341,2
Trudeau's lies matter,9327,3
CSSA - The Canadian Shooting Sports Association,9322,2
Peggy@99.1,9316,2
Export Development Canada - EDC,9313,2
CHAU Nouvelles,9310,3
Doug Gilmour,9303,5
Campbell Immigration,9298,4
BlackburnNews Windsor-Essex,9298,4
City Chrysler Corner Brook,9297,2
Camping Havana Resort,9291,1
TÉLÉ 24 LIVE - Canada,9284,3
Wake Up Ottoman,9284,4
Las Verandas Hotel & Villas,9283,1
Cityline,9280,4
Woozworld,9277,1
Beautiful Black Babies,9274,4
Act Natural,9273,1
Conexus Arts Centre,9264,3
La Fête nationale du Québec à Montréal,9261,4
"Air North, Yukon's Airline",9252,4
Le Nord Info,9250,3
Soy Viajera,9247,3
Brad Tuck Music,9242,2
Allergic Living,9237,4
Reynolds-Alberta Museum,9235,4
Première heure avec Claude Bernatchez,9221,4
Maritime Travel,9219,3
MBC Radio,9216,2
Kassa Tekleberhan,9212,4
Español Buzz - Cute,9211,2
Bruno Major,9211,4
"شَيءٌ مَا مُختلِف ,,",9207,5
Silk Music,9203,3
شركة النجم اللأمع لإستيراد معدات الغطس و الصيد البحري .,9202,3
West Coast Railway Heritage Park,9196,2
Theatrefolk,9190,1
ROCKWOOL,9188,2
NANO,9176,4
Expat Daily,9174,4
Hot & Fit Single Women,9172,4
LOUD x CLEAR,9163,5
Cam Bogle,9163,3
Lulujo,9159,2
Les Autos,9155,1
Nova Scotia Summer Fest,9150,3
Canadian True Crime Podcast,9150,1
Seb Trudel,9147,4
Oasis Surf,9147,3
Éducaloi,9147,4
Tourisme Montérégie,9135,4
Bria Atkins PPC Lambton-Kent-Middlesex,9134,1
Restaurant Normandin,9134,2
Groupe Yvon Michel - GYM,9132,4
Plantskydd Deer Rabbit Vole Repellent,9130,4
Peterborough Regional Health Centre,9125,2
Ralph Goodale,9124,4
PPSIMMONS,9123,2
Hollywood Smile Clinic,9116,3
Diana- Princess of Wales,9113,3
Alloprof,9113,3
Montreal.TV,9112,1
Sheraton Hotel Newfoundland,9112,2
K-Dans Haiti,9111,2
Becky Hammon,9111,4
BlueDiamond Entertainment Group Inc.,9101,4
Jean-Marc Couture,9101,2
Young Spirit Singers,9089,1
Oak Island Resort & Conference Centre,9083,2
Health Match BC,9083,2
Sherbrooke Honda,9081,3
Canada's Ecofiscal Commission,9078,1
FunguyPiano,9072,5
Winnipeg Hong Kong Concern,9070,1
Thomas Vanderham,9065,2
قُرّاء الكتب فى ليبيا,9064,1
Le jardin de mes pensées,9063,1
Conservateur De La Tunisie,9061,4
"JnAuto.com Cleveland,Québec",9054,2
Jack Link’s,9053,1
TIMBER MART,9052,2
Central Alberta Humane Society,9052,3
New Glasgow Regional Police,9050,3
Up 99.3,9045,2
Papa Doms,9043,4
Armada de Blainville-Boisbriand,9041,4
DzayeRing,9037,2
Uniqlo Canada,9031,4
Dryden Police Service,9031,1
Melt With Miami,9031,1
SAS-ASMR,9027,3
flingfire,9025,3
LCI Bogotá,9021,4
Get Largemouth,9017,4
Pick of The Crop,9017,2
London Knights,9016,4
Levallois Beauty,9015,3
Royal Botanical Gardens,9009,2
The Very Good Butchers,9007,5
Encore+,9004,4
Crush Canada,9002,2
Aero Emploi,9001,5
AddaGhar - আড্ডাঘর,8992,2
F&T,8990,5
Nature Québec,8990,4
Austin Strange,8988,1
Gardens Plus,8986,2
Hayya Alal Falah  حَيّ عَلَي الفَلاح,8982,4
AspenClean,8979,4
Grand Théâtre de Québec,8976,1
Power97,8970,2
I hate stupid neighbors.,8967,3
Tony La Sauce,8962,3
Nolinor Aviation,8961,3
La Bête Bar-Steakhouse,8957,3
TD South Asian Fest,8957,2
My Barn Child,8949,2
Senator Linda Frum,8943,3
Victoria News,8943,3
Bay Truck Stop Petro Pass,8936,2
FAN EXPO Boston,8931,4
Vancouver Fire Fighters,8928,3
Life Made Delicious,8914,3
La Fête nationale du Québec,8912,3
LUZIA by Cirque du Soleil,8908,3
Fernie Alpine Resort,8902,2
Zero Waste Produce Bags,8900,2
Complete Country,8899,2
English Montreal School Board,8895,4
Vancouverites Concerned About Hong Kong,8892,1
Ali Adnan - علي عدنان,8892,3
Great Canadian Dollar Store - The Brody Company,8891,4
The Shooting Edge Inc,8889,2
مجله مرد روز,8887,3
Karate Kactus - DJJO,8881,3
CHC Helicopter,8880,1
Caron et Guay - Portes et fenêtres,8878,2
Canadian Pet Connection,8874,1
Loyal Lobos,8873,2
Ill Mascaras,8870,4
Christophe Morel Chocolatier,8869,3
Knight Inlet Lodge,8861,1
DJ KSR,8849,2
Psych Ward Kidz,8848,2
Bukan Jatt,8845,2
Club de hockey l'Océanic de Rimouski,8843,3
Parti Vert du Québec - Green Party of Quebec,8842,5
Sport Chek,8842,2
Oxford NDP,8841,2
Hert LeBlanc Artiste Acadien,8839,2
Direct Action Everywhere Toronto,8835,4
Country 94,8835,3
Búsquedas sad.,8832,3
Sanjay Patel MLA  Khambhat,8827,1
Les Grands Ballets Canadiens de Montréal,8816,3
Sportstats,8808,1
The Mad Butcher Chilliwack,8806,3
Samaritan's Purse Canada,8802,3
Diamonds & Millionaires Clothing Co.,8797,4
Rapseason,8797,1
AŞK-I Istanbul,8795,3
Senator Murray Sinclair,8792,1
Grain Farmers of Ontario,8792,2
David Suzuki's Queen of Green,8784,4
Johny bass,8780,2
Egg Farmers of Canada,8769,2
Amine El Mehni,8769,4
Hanne Mjøen,8768,1
Film Making .,8767,3
Ministry of Indigenous Affairs,8754,2
PRO-MIX Gardening,8750,3
Melodie A. Dee,8749,2
Tundra Books,8741,2
Covey Basics,8741,4
Likambonamabelé,8736,3
CochraneNow,8728,3
Téa G,8728,2
Ontario Farmer,8725,2
Employment and Social Development Canada,8725,2
Kamloops This Week,8724,4
Wilfred Le Bouthillier,8722,3
l'Orée du Bois,8719,4
Frosty Treat Dairy Bar,8718,3
Québec Hebdo,8713,3
The Maple Ridge-Pitt Meadows News,8711,3
Fred Lam,8708,3
Niagara this Week,8701,4
PuraThrive Nutrition,8700,3
Idées tattoo,8679,1
Canada's Farm Show,8676,1
L'Arche Internationale,8673,1
笑话大全,8672,1
Yellow Vests Alberta Page,8670,3
Jean Zotomy,8668,1
Cape Breton Regional Municipality,8667,2
Surgvet PETS Hospital,8658,3
Dominic Dubreuil - Dom Dub,8654,1
Ugh Oufwey,8653,3
Brackley Drive-in,8647,4
François Cardinal,8644,2
Saskatchewan Union of Nurses,8644,2
Saskatchewan Highway Hotline,8639,4
Fighting against Chinese Communist Authoritarianism,8639,2
CJ 104,8639,4
GREAT BIG TRUTH,8634,3
Canadian Coalition Against Terror (C-CAT),8632,4
Tbb-Boss,8623,1
فيرونيكا جولياني,8619,4
Muzo Muzic Canada,8614,2
Ewings Cancer Foundation Endowment Fund,8613,2
KIRSTIN ASH Jewellery,8612,3
Straight Edge Worldwide,8611,3
"Harold Albrecht, MP",8609,3
DARK RITES,8609,3
Banka Sidhu,8606,4
Indigenous Climate Action,8602,3
CAMH Foundation,8601,3
Pas D'Temps À Perdre,8600,2
Roy Gori,8599,4
Tree for Boston,8595,4
Yamaha Motor Canada Ltd.,8593,3
Meridian Credit Union,8588,4
Philippine Independence Day Council,8580,2
La Boite à Grains,8579,4
Émile Proulx-Cloutier,8564,2
Festival Santa Teresa,8560,2
Caracol,8544,3
"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",8543,3
CARP,8541,2
Showcase - Home Of The Hottest Trends,8540,4
Windsor Regional Hospital,8540,3
Brand Punjabi,8539,1
Cultural Action Party- Ontario,8538,3
Women's Coordinating Committee for a Free Wallmapu [Toronto],8533,1
CricWired,8528,3
"Poets Cove Resort, Spa & Marina",8521,3
Pizza Hut,8520,1
Sarah's Nail Secrets,8520,3
McGill University,8515,4
Mini Pop Kids,8513,3
Gord Downie,8510,3
Justice for Gun Owners,8509,1
Somna,8509,3
Guri Sekhon,8506,2
Buick Canada,8500,4
Fine Art Photography by Sylvia Hart,8492,2
GoldLink,8492,3
Laszlo The Composer,8492,1
Humorics Mexicanos Al Grito de Guerra.,8491,3
Momi Boutique,8490,3
Country 101.1,8484,3
MONOWHALES,8482,2
Albertan Conservatives,8479,1
Broue,8471,2
Liquidation Furniture & More,8469,4
Gates Wildlife Control,8466,3
محبي ريال مدريد الاسباني,8463,1
Leona Alleslev,8463,3
Quartier Petit Champlain,8463,4
Hub City Tattoo Expo,8459,4
It doesn't taste like chicken,8459,2
John & Carol Arnott,8458,1
Balance One,8458,1
ON1Call,8457,3
Times Colonist,8455,3
Dernière Heure,8455,1
Wanstalls,8454,2
Force Positive,8453,1
Autofocus.ca,8450,1
United Conservative Party Caucus,8449,3
Jeremy Clarkson Fan Club,8448,2
FLOBI Media,8446,1
Gabby's Country Cabaret,8446,1
Service de police de l'agglomération de Longueuil,8442,3
Best for Bees,8442,2
Festival International de Jazz de Montréal,8438,3
My Pet's health - Mon animal en santé,8430,4
One Tree Planted,8429,4
Zacky Vengeance and Synyster Gates Fans,8425,1
Girl Guides of Canada,8423,3
Furry Tales from the Woke Side,8422,2
Wrapped Wonders,8420,3
Sherlock Holmes - Jeremy Brett,8416,3
Cowboys Music Festival,8411,1
Tessa Violet,8405,3
A for Adventure,8401,3
Smith's Furniture & Appliances,8391,3
Boomerang,8389,4
National Kitchen & Bath Association (NKBA),8384,4
Michael Makes Films,8382,1
Félix & Norton,8373,3
Dark Rouge Park,8362,2
The EDGE,8360,1
Denis Lévesque - Émission,8357,2
Complètement Poireau,8356,4
Arbraska,8352,3
Boursin Canada,8350,5
Home Outfitters,8342,5
Now Country 104.7,8337,3
Queen's University,8325,3
Poltergeist,8324,1
AutoGuide.com,8316,3
Piano Music for Ballet,8314,3
Michael Jackson- The Man Behind The Mirror,8310,4
"Dr Vanessa Lapointe, R Psych",8306,2
Zaid Ali,8305,1
Journées de la persévérance scolaire,8296,2
"My Fresh Perspective, formerly Eat Spin Run Repeat",8296,1
Maxi-Cosi,8296,2
Shek'art Label,8295,1
VANESSA MANUNGA,8294,4
UCCU - Creators United,8293,3
Someone Knows Something,8291,3
Zane,8290,2
Murray Chevrolet Cadillac - Lethbridge,8286,2
JOHOR KAKI Blog,8280,3
Optics,8279,3
Global Skills Hub,8272,2
Jakeman's Pure Maple Syrup,8269,3
KoalaQuiz,8258,3
Africa Web MEDIA,8256,4
Cynthia Dulude,8254,4
In the Name Of god - The Podcast,8236,1
Fairmont Le Château Frontenac,8228,1
Lao Liberal Democratic Party - Seri Pasathipatai Lao,8228,4
Pita Pit Canada,8226,4
Beauce Média,8222,3
Alberta Beef Producers,8219,3
CPAWS Southern Alberta,8216,2
Mazda Canada,8215,3
Dabrowski's Smoked Meats Ltd,8207,4
Jason Dhakal,8203,3
Embassy of Lithuania to Canada/ Lietuvos Respublikos ambasada Kanadoje,8203,1
Sipology by Steeped Tea Inc,8196,3
Quebec Canada Campaign,8194,3
McLean Berry Farm,8194,4
Curiocity Calgary,8193,2
Tours Amérique,8189,4
Navaid Aziz,8187,2
United Nations Decade on Biodiversity,8179,3
Ludwig van Toronto,8174,2
YorkRegion.com,8166,3
ToNiagara,8163,1
Emma's Sweets,8162,3
Nautilus Plus,8158,4
Waterloo Residences,8154,2
Foodland Ontario,8152,4
Bigley Shoes and Clothing,8152,3
Festival Rock de Gatineau,8151,3
Felix Jaehn,8150,3
Autumn Skye ART,8150,3
Bijouterie la Main D'Or El-BIAR,8149,3
Capitals Feed,8147,3
Manitoba Metis Federation,8146,4
Friends of Canadian Broadcasting // Les Amis de la radiodiffusion,8144,3
Aria Lattner,8139,3
Martine Ouellet,8136,3
Charles Hamelin,8135,3
Onetaqwa Ramadan Calendar,8132,1
Sticks + Stones Design Group Inc.,8115,1
BK Unique Hair,8111,2
Healthy Tips,8111,2
Hedley,8107,1
Praying for Deserae Turner,8100,5
iögo,8099,3
Alberta Sheriffs,8094,1
The Ottawa Hospital - L'Hôpital d'Ottawa,8092,4
Democracy Watch,8088,3
Mother's Basement,8086,1
Native Northwest,8083,3
Embassy of Canada in Afghanistan,8081,2
